string_a,string_b,minimum_edit_distance
says,tear,4
buds,celestial,8
beneath,encounters,8
complimental,peopl,9
kirtles,pistols,4
drown,putock,5
dich,unlearn,7
disgraces,spieth,8
faction,lapse,6
bilboes,hiding,6
calumnious,fixture,10
cobwebs,unapeas,5
blanks,fitzwater,8
almanac,enjoyed,7
antidote,slomber,8
pigrogromitus,putock,11
consults,unaching,8
holines,unus,5
diners,eclipses,6
aidles,swol,5
pieces,unwished,6
infus,mephostophilus,12
buriest,somever,7
excelence,unforc,8
biding,lazarus,7
batles,stared,5
actium,tediously,7
exclusions,whels,8
dover,literary,6
unmeriting,wots,9
chus,quake,5
glose,mild,5
glorify,goten,5
contemptible,undiscover,11
bringer,parcels,7
members,prays,6
perfecter,uncoined,8
deputy,whipster,6
long,wives,5
infusing,luculus,7
constring,engaging,5
baser,enterprise,8
harpy,neoptolemus,10
hir,reciprocaly,9
pawn,ponder,5
adjunct,atainted,6
gorgeous,proceders,7
solon,wiloughby,7
chats,counterfeit,9
blazing,spy,7
disguises,prepared,8
exhortation,undergoes,10
coma,quondam,5
conceived,turkish,8
scribes,straited,4
defensive,foul,8
fortifies,gins,7
copying,protract,7
same,shifted,5
hearing,sware,5
andronici,whiles,9
conjur,unblest,7
impostors,sawyer,8
harbor,turtles,6
destroys,repured,6
hole,wind,4
crime,something,8
mastership,stokesly,8
unmufling,unquestion,6
salv,tif,4
emblems,frer,6
point,urchinfield,9
corected,rochester,5
juting,whencesoever,12
glistening,yelows,9
pedlar,torchbearers,10
insanie,unbelieved,7
holp,maws,4
olympian,unhapy,7
awakened,paricides,7
chiling,grek,7
deo,lawyer,5
adreses,conflict,8
cousin,forked,5
gules,impos,4
inch,journal,6
auburn,untrue,5
helen,prables,5
ditches,marches,3
cawdron,stoped,7
couriers,swerve,6
quinces,tearshet,7
refered,sly,7
cares,pish,5
feryman,hunt,7
barn,miching,6
misled,styl,5
fub,servilius,8
overglance,sonest,9
entitled,lena,7
malefactor,wapen,8
candidatus,dulard,8
mufling,tat,7
confined,pedestal,8
forgetful,untried,8
conge,honeying,6
semeth,tyke,5
produces,starved,7
clay,desp,4
pitiful,rhinoceros,9
circumstance,instructed,9
concernings,lowest,9
machination,marking,7
sosius,temptations,9
ned,yorks,5
forwarding,thicken,9
fleting,praeclarisimus,12
comonty,merest,6
hanging,horsing,3
train,weight,6
electronicaly,ilustrious,9
mishapen,untoward,8
adieu,sev,4
fl,produce,7
dexter,wan,6
combined,pudle,7
burton,prun,4
chalice,swoned,7
nurs,pupils,4
causer,priest,6
crow,fuler,5
divide,leagued,6
except,piers,5
insurection,sweno,8
hard,posthorse,7
arogancy,cerecloth,8
cete,unrot,5
lives,protract,8
serveth,venetia,5
conjuration,embasies,9
details,mexico,5
clean,virginal,7
joan,stain,3
cel,transgresing,11
hamstring,sings,6
interchang,unmingled,9
buckle,harping,7
exempted,plump,6
shave,skul,4
elinor,uplift,5
unshaken,viceroy,8
frosty,vaughan,7
buls,minow,5
cable,choler,3
inheritors,saly,10
bachus,twixt,6
bochus,comparisons,9
companions,sighs,8
padua,thimble,7
handles,unbid,6
salets,stanch,5
proceds,remunerate,9
competitor,ofences,8
confutation,overlok,9
calculate,literatured,9
mousetrap,rudiments,9
laughing,unseing,5
peasant,sortance,6
barenes,purchases,6
buildings,rancour,9
ripening,train,6
hearse,weigh,5
executor,lives,8
disarmeth,shes,7
chape,fidler,5
blackbery,unpleas,8
gogs,tap,4
quis,witol,5
excels,weakly,5
nonsuits,torchbearers,10
deified,evasion,6
hits,wos,3
breches,southern,6
banerets,roaring,7
pauser,repas,5
discharg,revenge,8
furnish,particularly,10
estridge,tenedos,7
giliams,privilege,7
lucicos,stroke,7
declares,routs,7
caraways,unpublish,8
bonto,watchers,8
knacks,mathematics,9
coruption,supersubtle,9
companionship,iresolute,12
image,lustihod,8
adventuring,lizard,10
awak,taking,5
arogant,napes,7
fashion,snake,6
revers,sufer,4
suplie,taunting,6
anon,chamber,6
believes,headles,5
afectedly,wrestle,6
confesing,indirection,9
acuseth,handiwork,8
maund,rice,5
favoured,overgone,8
disapointed,hacket,9
conversation,repay,10
erjoy,pilot,4
jaundice,trust,7
debonair,outworn,8
determin,lifting,7
eunuch,maskers,7
prerogatifes,sting,10
flighty,imports,6
perusing,scaring,5
festinately,natus,8
claud,prings,6
garcon,violates,8
adventurously,silenced,11
singulariter,tender,9
roscius,tril,6
gertrude,oak,8
statute,wealthily,7
cowarded,fields,7
squier,thirdly,7
curd,unanswer,8
langton,mightst,6
bere,truer,4
distributed,hyperbolical,11
featured,whitsun,7
tag,unstained,7
richard,unowed,6
exaction,watchword,7
farewel,fifes,5
boy,hairs,5
ape,requested,8
chough,dishonestly,9
precor,twins,6
close,prononcez,7
bristle,butcheries,8
barm,rape,3
clout,turlygod,7
ecstacy,obey,6
birdlime,concealments,10
bourbier,royalize,6
enchants,mustardsed,8
fetlocks,misbegot,8
baynard,homicides,8
capitulate,evening,10
dearnes,progenitors,9
etexts,prints,4
provisions,transported,9
conceive,laying,7
arbour,comfort,6
labouring,mulieres,8
overborne,pep,8
dazling,traded,7
mountains,outrage,6
enlarge,sont,7
ground,underbearing,10
mediators,unmoan,8
schedules,scraping,7
inconvenience,unrelenting,9
mightines,oman,8
gamers,unwilingnes,10
belch,watchword,7
chime,infixing,7
undertakeing,wodman,9
bergamo,lustihod,7
afin,misprizing,8
carved,slenderer,8
metaphor,thrum,7
brom,expert,6
drag,watchword,9
fiercely,inhibited,8
buded,windy,5
emblems,proselytes,8
guarded,tester,6
privacy,upholding,8
abrogate,scornfuly,8
bucklers,misbelieving,10
pintpot,trojans,7
murdered,sems,7
mortaly,perceiveth,9
caudle,microcosm,8
disturb,marvelously,10
digs,supos,4
minime,transmutation,11
prick,throes,5
pompey,tripe,4
employments,one,9
dazling,tickling,4
jot,penurious,8
chud,finger,6
encorporal,meanest,10
ingredient,sheathed,9
encount,expires,6
canstick,sima,6
clasp,desire,6
cogscomb,conserved,6
scalps,tenantius,7
pernicious,rheums,8
enameled,isle,6
bokish,congruent,8
hudled,thistle,5
fourscore,unseconded,7
delight,steterat,6
cloys,drab,5
chok,excelence,8
fogy,sting,5
busineses,visions,6
scaring,thorough,6
thereunto,unumber,9
unanel,waist,5
deliv,longavile,8
pol,varied,6
consolate,foreheads,7
boyish,postern,6
furniture,leviathan,8
donors,proveth,6
identical,medling,7
soriest,violation,8
destitute,talies,8
auger,prevailing,9
nonsuits,poets,5
sovereignest,vapours,10
befriend,paternal,8
comunicat,disposesing,10
ease,ungot,5
marg,outjest,7
arguing,survivor,7
clime,katherina,8
guera,jesters,5
miracles,prerogatived,9
blust,venomously,8
begrimed,promethean,9
arbors,suposed,6
alencon,philosophy,9
sneaping,training,5
aerial,paled,6
dauphin,eyelids,7
curled,ore,4
outgo,palate,6
acusativo,eget,8
epitaph,pendent,7
intelect,scrols,7
choir,japhet,6
kikely,older,5
intermisive,pipers,8
bulks,posteriors,9
fractions,tarquin,7
hyrcania,michaelmas,8
pacorus,turkey,7
meanings,who,8
beard,grievest,7
ridling,swol,6
marcade,varlets,5
luke,wend,4
states,turnbul,7
cariage,invades,6
aconitum,uters,8
clasp,uncros,5
achiev,graft,6
naked,reclaims,7
comandments,soit,9
abominations,tenure,11
emblems,importeth,7
agnize,deputing,7
revolting,tickled,8
henchman,rul,8
doubts,walks,5
leson,vi,5
caelo,intermisive,10
aligator,turf,7
damasked,epicurus,8
decrepit,wonderfuly,8
english,reling,5
cushion,hising,5
hemlock,stringles,9
tinsel,workers,6
coranto,tight,6
deucalion,unbent,8
alphonso,heroic,7
indigest,masterpiece,10
boys,design,6
sinfuly,untired,7
determin,minces,8
thenceforth,weder,8
chops,vaulty,6
gait,subsisting,8
hardest,inexplicable,12
sphinx,woeful,6
interogatories,ldst,13
grek,reveals,6
amidst,novum,6
incarnation,ludlow,10
din,untrue,6
asays,watchword,8
inconveniences,mows,12
batled,creaking,7
reveals,shepherdes,7
impetuous,rapes,6
lop,sealed,5
centre,retired,4
anchored,pantler,6
uncoined,unspoted,4
interim,oes,6
sign,volscians,6
goats,group,4
gilian,protractive,10
hamlet,significant,10
overearnest,pined,9
chargeful,partizan,7
daily,pipin,5
fingers,superfluous,9
confeseth,dilated,8
orders,procesors,5
erflourish,executors,8
pusilanimity,solder,10
leads,left,3
projection,que,9
importunate,mayst,9
compound,manes,7
dedicated,erwalk,7
import,slip,6
heavines,pratling,6
courtship,grieves,8
crum,weke,4
lugage,tapers,6
anything,molification,11
dirge,tenant,6
prevented,sandal,8
mints,scarlet,7
rescue,viola,6
hinc,inflam,5
maid,wholy,5
agile,restores,7
atains,gaberdine,6
predicament,wip,10
grasps,recreant,7
dignities,twelve,8
imaculate,razors,8
angletere,holoa,8
fater,profit,6
contempts,dispense,8
grensleves,shock,9
formats,rigorously,8
unimproved,wildest,9
crosby,smock,5
rears,throng,6
coling,poh,5
discontentedly,trops,13
unsheathe,usurped,7
enseamed,on,7
blesings,mortise,7
contumely,tumultuous,9
admonition,waywarder,10
ilumin,taught,5
certes,marv,5
brag,inflaming,7
blabs,vizard,5
crawl,lifelings,8
bef,sedition,7
unicorns,vapians,6
boty,survey,5
braves,posterity,8
cucko,peaceful,7
certainties,troyan,9
acquit,piping,6
abridge,madly,6
plenteously,undaunted,10
heartbreaking,leting,8
adoreth,physic,7
physician,types,8
dean,untainted,7
pied,swounds,6
anticipate,revok,10
mala,reynaldo,6
dickon,thus,6
pricksong,quaint,8
dugs,moe,4
sonets,unhospitable,10
medling,simois,6
puling,rs,6
philomel,recanting,9
rom,velutus,7
brained,salerio,7
capital,yielded,7
bethought,unhedy,8
beamed,imortal,7
teacheth,topas,7
broils,toters,5
blanket,depths,7
opes,pits,3
comb,conspiracy,8
honourably,impartment,10
fantasies,thane,7
blosoms,extolment,8
darling,pasterns,6
wanes,wodland,5
servingman,whitle,9
actual,isuing,6
brand,trudge,5
budget,first,5
sunk,unsure,4
uncourteous,wiling,11
fore,sides,4
fotmen,mais,6
