disk_reference,duration,start,channel,title,description,scrid,pcrid
5080109651811631104,3600,2007-06-25 23:00:00 +0100,BBC Four,Life on Mars,"1/8. Drama series about Sam Tyler, a Manchester detective who suffers a near-fatal car crash and wakes up in what seems to be 1973. [AD,S]","",""
5080960055336251002,11700,2007-06-28 06:00:00 +0100,BBC One,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team. Includes regional news at 25 and 55 minutes past each hour. [S]",crid://fp.bbc.co.uk/KCI7Z3,""
5080960055340444832,1200,2007-06-28 06:00:00 +0100,BBC Two,Fimbles,"CBeebies. Brown Paper Bag: Florrie finds a brown paper bag, which is just the thing for a game of Paper Bag Surprise. Meanwhile, Rockit thinks he can do magic, with a brown paper bag of course! [AD,S]",crid://fp.bbc.co.uk/KCI84I,crid://fp.bbc.co.uk/TFIM7
5080960055352699469,9000,2007-06-28 06:00:00 +0100,BBC News 24,Breakfast,"Start your day with all the latest news, sport, business and weather from the BBC's Breakfast team.","",""
5080965209301200026,900,2007-06-28 06:20:00 +0100,BBC Two,Story Makers,"CBeebies: Carnival: When midnight strikes in the library, some very special people come out to make stories. Jelly and Jackson find out what happens at a Carnival. [S] Then Fimbly Songtime.",crid://fp.bbc.co.uk/KCI8JT,crid://fp.bbc.co.uk/4CBCJ5
5080969074771766479,1500,2007-06-28 06:35:00 +0100,BBC Two,Balamory,"CBeebies. Phone Frazzled: Suzie has a new mobile phone and that is where things start to go wrong. Suddenly the phone becomes more important to her then the people around her. [AD,S]",crid://fp.bbc.co.uk/KCI84G,crid://fp.bbc.co.uk/56FO2G
5080975517222710430,900,2007-06-28 07:00:00 +0100,BBC Two,Arthur,CBBC. DW's Time Trouble: DW is sick and tired of being bossed around all the time and demands to know why she couldn't have been born before Arthur! [S],crid://fp.bbc.co.uk/KCI8FW,crid://fp.bbc.co.uk/4BAJUY
5080979382693276849,600,2007-06-28 07:15:00 +0100,BBC Two,ChuckleVision,"CBBC. Vengeful Viking: Paul and Barry visit historic Craggy Head and wake a sleeping Viking. [AD,S]",crid://fp.bbc.co.uk/KCI8FX,crid://fp.bbc.co.uk/4CB93M
5080981959673654451,300,2007-06-28 07:25:00 +0100,BBC Two,Newsround,CBBC. Daily news magazine keeping you up to date on the latest stories and events happening at home and abroad.,crid://fp.bbc.co.uk/KCI84B,""
5080983248163843255,1800,2007-06-28 07:30:00 +0100,BBC Two,Clutter Nutters,CBBC. Dance queen Jessica and teacher-loving Sophie put their clutter to the task. And it's a close call - will Sophie chalk her way up to win the crown? [S],crid://fp.bbc.co.uk/KCJ2G4,crid://fp.bbc.co.uk/4CDM2K
5080990979104976061,900,2007-06-28 08:00:00 +0100,BBC Two,Tracy Beaker,"CBBC. Music: Tracy gets a saxophone and before long, the whole of the Dumping Ground is rocking with the sound of music. [AD,S]",crid://fp.bbc.co.uk/KCIDYA,crid://fp.bbc.co.uk/4CBDY3
5080994844575542420,900,2007-06-28 08:15:00 +0100,BBC Two,Krypto the Superdog,"CBBC. Melanie's Monkey: When a baby monkey comes into her life, Melanie learns why monkeys are better off in the rainforest and humans are better off at home. [S]",crid://fp.bbc.co.uk/KCI14L,crid://fp.bbc.co.uk/SIGM6
5080998710046108886,300,2007-06-28 08:30:00 +0100,BBC Two,Pingu,"CBeebies. Pingu's Female Admirer: At school, Pingu is irritated to find that the new girl penguin seems to have taken a shine to him and is insisting on following him.",crid://fp.bbc.co.uk/KCI9RO,crid://fp.bbc.co.uk/4C98ED
5080998710058363462,1800,2007-06-28 08:30:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
5080999998536297625,1500,2007-06-28 08:35:00 +0100,BBC Two,Jakers!,"CBBC. The Adventures of Piggley Winks. Pie Filling: Piggley, Ferny, Dannan and Molly just can't resist eating one of Mrs Winks' pies. [S] Followed by CBeebies Birthdays.",crid://fp.bbc.co.uk/KCIFS5,crid://fp.bbc.co.uk/4CBRSN
5081006440987241643,900,2007-06-28 09:00:00 +0100,BBC Two,Boogie Beebies,CBeebies. Orchestra: Pete and the Boogie Bunch come up with some musical moves when they join the Royal Academy of Music Junior Orchestra. [S],crid://fp.bbc.co.uk/KCIHVM,crid://fp.bbc.co.uk/4CDKDH
5081006440999496254,3600,2007-06-28 09:00:00 +0100,BBC News 24,BBC News,Twenty-four hours a day: the latest national and international stories as they break.,"",""
